"DATE","Year","Month","Day","Tmin","Tmax","Tmean","Prec"
1996-05-21 12:00:00,1996,5,21,3.77777777777778,17.8888888888889,10.3333333333333,0
1996-05-22 12:00:00,1996,5,22,4.61111111111111,17,11.7222222222222,2.54
1996-05-23 12:00:00,1996,5,23,10.1111111111111,17.1111111111111,13.0555555555556,2.794
1996-05-24 12:00:00,1996,5,24,12.6111111111111,23.3888888888889,17.7777777777778,0.508
1996-05-25 12:00:00,1996,5,25,7.88888888888889,21.8888888888889,13.7777777777778,0
1996-05-26 12:00:00,1996,5,26,6.72222222222222,18.7777777777778,12.4444444444444,3.556
1996-05-27 12:00:00,1996,5,27,8.27777777777778,16.1111111111111,12.1111111111111,9.906
1996-05-28 12:00:00,1996,5,28,6.38888888888889,15.7222222222222,10.3333333333333,2.794
1996-05-29 12:00:00,1996,5,29,7.22222222222222,23.7222222222222,15.8333333333333,0
1996-05-30 12:00:00,1996,5,30,11.1111111111111,27.5,20.5555555555556,0
1996-05-31 12:00:00,1996,5,31,15.2777777777778,26.2777777777778,20.8888888888889,0
1996-06-01 12:00:00,1996,6,1,8.77777777777778,20.3888888888889,13.2222222222222,7.112
1996-06-02 12:00:00,1996,6,2,6.72222222222222,17.2777777777778,11.6111111111111,1.778
1996-06-03 12:00:00,1996,6,3,10.7777777777778,20.8888888888889,14.8888888888889,1.778
1996-06-04 12:00:00,1996,6,4,9,24.7222222222222,17.1666666666667,0
1996-06-05 12:00:00,1996,6,5,10.3888888888889,28,20.2777777777778,0
1996-06-06 12:00:00,1996,6,6,12.8888888888889,32,23.6111111111111,0
1996-06-07 12:00:00,1996,6,7,15.7777777777778,33.2222222222222,24.7777777777778,0
1996-06-08 12:00:00,1996,6,8,17.3888888888889,31.3888888888889,24.6111111111111,7.366
1996-06-09 12:00:00,1996,6,9,14.1111111111111,25.8888888888889,19.7222222222222,1.778
1996-06-10 12:00:00,1996,6,10,11,29.3888888888889,20.7777777777778,0
1996-06-11 12:00:00,1996,6,11,14.3888888888889,30.2777777777778,22,0
1996-06-12 12:00:00,1996,6,12,10.7777777777778,24.7222222222222,18.4444444444444,0
1996-06-13 12:00:00,1996,6,13,5,21.3888888888889,13.3333333333333,0
1996-06-14 12:00:00,1996,6,14,5.11111111111111,19.2777777777778,12.8333333333333,0
1996-06-15 12:00:00,1996,6,15,4.38888888888889,23.1111111111111,14.5555555555556,0
1996-06-16 12:00:00,1996,6,16,6.88888888888889,23.5,16.1666666666667,0
1996-06-17 12:00:00,1996,6,17,6.88888888888889,27.7777777777778,18.2777777777778,0
1996-06-18 12:00:00,1996,6,18,10.2222222222222,26.2777777777778,18.1111111111111,0
1996-06-19 12:00:00,1996,6,19,7.11111111111111,16.2222222222222,12.7777777777778,0
1996-06-20 12:00:00,1996,6,20,10,14.7777777777778,10.7777777777778,0
1996-06-21 12:00:00,1996,6,21,8.77777777777778,17.1111111111111,12.3888888888889,7.112
1996-06-22 12:00:00,1996,6,22,8.88888888888889,16.3888888888889,11.3888888888889,0
1996-06-23 12:00:00,1996,6,23,9.61111111111111,15.7777777777778,12.0555555555556,4.318
1996-06-24 12:00:00,1996,6,24,10,16.1111111111111,12.3888888888889,0.254
1996-06-25 12:00:00,1996,6,25,9.27777777777778,17.5,13.3888888888889,0
1996-06-26 12:00:00,1996,6,26,5.27777777777778,23,14.8333333333333,0
1996-06-27 12:00:00,1996,6,27,8.27777777777778,22.2222222222222,13.9444444444444,0
1996-06-28 12:00:00,1996,6,28,12.8888888888889,24.7777777777778,18.2222222222222,0.254
1996-06-29 12:00:00,1996,6,29,10.7222222222222,22,13.6666666666667,8.89
1996-06-30 12:00:00,1996,6,30,10.6111111111111,19,13.7777777777778,6.096
1996-07-01 12:00:00,1996,7,1,11.8888888888889,19.2222222222222,14.3888888888889,0.762
1996-07-02 12:00:00,1996,7,2,10.7222222222222,17.7777777777778,13.2777777777778,1.524
1996-07-03 12:00:00,1996,7,3,10.3888888888889,23,17.1666666666667,2.54
1996-07-04 12:00:00,1996,7,4,13.2222222222222,22.7777777777778,18,1.27
1996-07-05 12:00:00,1996,7,5,10.7222222222222,20.3888888888889,14.1666666666667,3.556
1996-07-06 12:00:00,1996,7,6,9.77777777777778,18.2222222222222,13.6111111111111,14.224
1996-07-07 12:00:00,1996,7,7,8,20.1111111111111,13.7222222222222,0
1996-07-08 12:00:00,1996,7,8,9.88888888888889,17.6111111111111,13.2777777777778,1.016
1996-07-09 12:00:00,1996,7,9,7.22222222222222,18.1111111111111,13.5,0.508
1996-07-10 12:00:00,1996,7,10,12.8888888888889,19.1111111111111,14.6111111111111,5.08
1996-07-11 12:00:00,1996,7,11,10.5,24.3888888888889,17.8888888888889,3.302
1996-07-12 12:00:00,1996,7,12,15.2777777777778,25.8888888888889,19.7222222222222,0.254
1996-07-13 12:00:00,1996,7,13,12.7777777777778,24.2777777777778,18.1666666666667,0
1996-07-14 12:00:00,1996,7,14,13.2222222222222,25.5,18.8333333333333,0
1996-07-15 12:00:00,1996,7,15,13.2777777777778,23.3888888888889,18.8888888888889,0
1996-07-16 12:00:00,1996,7,16,7.11111111111111,20.8888888888889,14.3888888888889,0
1996-07-17 12:00:00,1996,7,17,6.77777777777778,22.2222222222222,14.8888888888889,0
1996-07-18 12:00:00,1996,7,18,5.61111111111111,21.7777777777778,14.1111111111111,0
1996-07-19 12:00:00,1996,7,19,7.61111111111111,23.7777777777778,16.3333333333333,0
1996-07-20 12:00:00,1996,7,20,7.5,25.2222222222222,17.5555555555556,0
1996-07-21 12:00:00,1996,7,21,12.7777777777778,26.5,19.8888888888889,0
1996-07-22 12:00:00,1996,7,22,14.2222222222222,28.3888888888889,21.3888888888889,0
1996-07-23 12:00:00,1996,7,23,13.6111111111111,29.2777777777778,21.3888888888889,0
1996-07-24 12:00:00,1996,7,24,11.8888888888889,26.8888888888889,15.4444444444444,23.622
